review_date,valid_from,theme,theme_state,priority,tradable_next_day,allowed_modes,reason,evidence_url
2026-07-09,2026-07-10,存储/半导体,accelerate,1,1,leader_divergence_to_consensus,长鑫IPO消息刺激存储和半导体链,https://www.cls.cn/detail/2421756
2026-07-09,2026-07-10,先进封装,accelerate,1,1,leader_divergence_to_consensus|supplement_after_leader_confirmed,多只大市值权重涨停形成共振,https://www.cls.cn/detail/2421756
2026-07-09,2026-07-10,算力硬件,repair,2,1,leader_divergence_to_consensus,硬件同步反弹但必须防高潮次日抛压,https://www.cls.cn/detail/2421756
2026-07-10,2026-07-13,创新药,new_trial,1,1,low_level_switch|leader_weak_to_strong,硬科技退潮时低位医药相对承接,https://www.cls.cn/detail/2423004
2026-07-10,2026-07-13,AI应用,new_trial,2,1,low_level_switch|leader_weak_to_strong,低位应用有辨识度但仍属试错,https://www.cls.cn/detail/2423004
2026-07-10,2026-07-13,机器人,new_trial,2,1,low_level_switch,旧机器人退潮后只保留新低位独立核心试错,https://www.cls.cn/detail/2422921
2026-07-10,2026-07-13,硬科技,retreat,9,0,cash,炸板率高且核心大幅回落,https://www.cls.cn/detail/2423004
2026-07-13,2026-07-14,医药,repair,1,1,ice_point_repair|leader_weak_to_strong,恐慌中医药仍有梯队,https://www.cls.cn/detail/2424673
2026-07-13,2026-07-14,油气/红利,new_trial,2,1,ice_point_repair|low_level_switch,避险资金聚集且油价催化增强,https://www.cls.cn/detail/2424673
2026-07-13,2026-07-14,存储,retreat,9,0,cash,核心继续跌停补跌,https://www.cls.cn/detail/2424673
2026-07-13,2026-07-14,PCB,retreat,9,0,cash,生益科技等出现明显负反馈,https://www.cls.cn/detail/2424673
2026-07-14,2026-07-15,医药,confirm,1,1,leader_divergence_to_consensus|leader_weak_to_strong,冰点修复中医药核心继续晋级,https://www.cls.cn/detail/2425998
2026-07-14,2026-07-15,PCB,new_trial,1,0,cash,当日由业绩预告催化爆发但核心角色库尚未满足下一日可交易完整性要求,https://www.cls.cn/detail/2425998
2026-07-15,2026-07-16,医药,accelerate,1,1,leader_divergence_to_consensus|supplement_after_leader_confirmed,十余医药成分涨停且高标继续晋级,https://www.cls.cn/detail/2427336
2026-07-16,2026-07-17,医药,divergence,1,1,leader_divergence_to_consensus,核心仍强但市场整体转弱只做核心确认,https://www.cls.cn/detail/2428544
2026-07-16,2026-07-17,中药,confirm,2,1,leader_weak_to_strong,片仔癀等形成局部赚钱效应,https://www.cls.cn/detail/2428544
2026-07-16,2026-07-17,AI手机,new_trial,3,1,low_level_switch,局部低位试错仅观察核心延续,https://www.cls.cn/detail/2428544
2026-07-17,2026-07-20,存储,retreat,9,0,cash,德明利连续跌停且科技极端亏钱,https://www.cls.cn/detail/2429653
2026-07-20,2026-07-21,电力,confirm,1,1,leader_divergence_to_consensus|leader_weak_to_strong|supplement_after_leader_confirmed,立新能源3板并形成华银乐山桂冠梯队,https://www.cls.cn/detail/2431452
2026-07-20,2026-07-21,算力租赁,new_trial,2,1,low_level_switch,独立催化但需次日验证持续性,https://www.cls.cn/detail/2430779
2026-07-20,2026-07-21,存储,retreat,9,0,cash,德明利4跌停负反馈未解除,https://www.cls.cn/detail/2431452
2026-07-21,2026-07-22,电力,accelerate,1,1,leader_divergence_to_consensus|supplement_after_leader_confirmed,龙头和梯队继续晋级,https://www.cls.cn/detail/2432754
2026-07-21,2026-07-22,半导体,repair,2,1,leader_divergence_to_consensus|leader_weak_to_strong,科技全链强修复但持续性待确认,https://www.cls.cn/detail/2432754
2026-07-21,2026-07-22,先进封装,repair,2,1,leader_divergence_to_consensus,核心出现地天/强修复,https://www.cls.cn/detail/2432754
2026-07-21,2026-07-22,CPO,repair,2,1,leader_divergence_to_consensus,容量核心同步修复,https://www.cls.cn/detail/2432689
2026-07-22,2026-07-23,电力,accelerate,1,1,leader_divergence_to_consensus|supplement_after_leader_confirmed,立新能源5板华银4板且板块回流,https://www.cls.cn/detail/2434004
2026-07-22,2026-07-23,算力租赁,confirm,2,1,leader_weak_to_strong,美利云3板保留辨识度,https://www.cls.cn/detail/2434004
2026-07-22,2026-07-23,有色,confirm,2,1,leader_weak_to_strong,盛达资源连板且资源承接低风偏资金,https://www.cls.cn/detail/2434004
2026-07-23,2026-07-24,电力,accelerate,1,1,leader_divergence_to_consensus|supplement_after_leader_confirmed,立新能源6板成为情绪锚,https://www.cls.cn/detail/2435218
2026-07-23,2026-07-24,电网设备,accelerate,1,1,supplement_after_leader_confirmed|leader_weak_to_strong,政策与招标催化叠加30余股涨停或大涨,https://www.cls.cn/detail/2434908
2026-07-23,2026-07-24,算力租赁,confirm,2,1,leader_weak_to_strong,美利云4板但非当日绝对主线,https://www.cls.cn/detail/2435218
2026-07-24,2026-07-27,电力,retreat,9,0,cash,立新能源断板且板块批量跌停,https://www.cls.cn/detail/2436413
2026-07-24,2026-07-27,医疗,new_trial,2,1,low_level_switch,五洲医疗保持高弹性但需新周确认扩散,https://www.cls.cn/detail/2436413
2026-07-27,2026-07-28,电力,repair,3,1,leader_divergence_to_consensus,立新能源反包但属于旧周期修复仅低权重,https://www.cls.cn/detail/2437935
2026-07-27,2026-07-28,医疗,confirm,2,1,leader_weak_to_strong,五洲医疗20cm持续晋级,https://www.cls.cn/detail/2437935
2026-07-28,2026-07-29,脑机接口,confirm,1,1,leader_divergence_to_consensus|leader_weak_to_strong|supplement_after_leader_confirmed,连续两日走强且政策/海外商业化双催化,https://www.cls.cn/detail/2438944
2026-07-28,2026-07-29,电力,retreat,9,0,cash,立新能源准天地且旧周期确认负反馈,https://www.cls.cn/detail/2439100
2026-07-28,2026-07-29,算力硬件,retreat,9,0,cash,剑桥东山光迅等批量跌停,https://www.cls.cn/detail/2439100
2026-07-29,2026-07-30,AI应用,new_trial,1,1,low_level_switch|leader_weak_to_strong,传智教育3板且低位应用恢复赚钱效应,https://www.cls.cn/detail/2440260
2026-07-29,2026-07-30,机器人,new_trial,2,1,low_level_switch|leader_weak_to_strong,明新旭腾3板形成低位辨识,https://www.cls.cn/detail/2440260
2026-07-29,2026-07-30,旅游酒店,new_trial,3,1,low_level_switch,华天酒店3板但仍是轮动支线,https://www.cls.cn/detail/2440260
2026-07-29,2026-07-30,电力,retreat,9,0,cash,立新能源连续跌停旧周期结束,https://www.cls.cn/detail/2440260
2026-07-30,2026-07-31,AI应用,confirm,1,1,leader_divergence_to_consensus|leader_weak_to_strong,传智教育4板成为应用端低位核心,https://www.cls.cn/detail/2441507
2026-07-30,2026-07-31,机器人,confirm,2,1,leader_divergence_to_consensus|leader_weak_to_strong,明新旭腾4板但板块广度需盘中确认,https://www.cls.cn/detail/2441507
2026-07-30,2026-07-31,大消费,new_trial,3,1,low_level_switch|leader_weak_to_strong,一鸣食品3板但整体偏防御轮动,https://www.cls.cn/detail/2441507
2026-07-31,2026-08-03,AI应用,accelerate,1,1,leader_divergence_to_consensus|supplement_after_leader_confirmed,传智教育5板且中文在线等20cm扩散;仅用于月后记录,https://www.cls.cn/detail/2442703
2026-07-31,2026-08-03,算力租赁,repair,2,1,leader_weak_to_strong,美利云云赛智联活跃;仅用于月后记录,https://www.cls.cn/detail/2442641
2026-07-31,2026-08-03,机器人,confirm,2,1,leader_weak_to_strong,机器人低位继续活跃;仅用于月后记录,https://www.cls.cn/detail/2442703
