review_date,valid_from,source_publish_at,limit_up,broken_board,seal_rate,market_phase,strong_themes,weak_or_retreat_themes,core_ladder,earning_effect,loss_effect,next_day_plan,source_url,evidence
2026-07-15,2026-07-16,2026-07-15 17:38,72,21,0.77,"结构分化/医药主导","创新药|医药|影视|游戏|食品饮料","半导体|MLCC|CPO|能源金属","高标:恒尚节能12天11板;医药连板:哈药股份4板/迪哲医药20cm2板;消费/影视形成低位轮动","医药十余成分涨停，接力局部回暖","科创50再跌超4%，科技负反馈延续","7/16医药只有核心继续超预期且板块保持梯队才做；科技仍需等待容量核心止跌","https://www.cls.cn/detail/2427336","A-同日收盘原创"
2026-07-16,2026-07-17,2026-07-16 17:29,42,25,0.63,"分歧转退潮","中药|影视/服务消费|AI手机局部|房地产/养殖","半导体|先进封装|MLCC","医药核心:哈药股份5板/片仔癀涨停;端侧AI:智度股份2板;高标负风险:恒尚节能高位监管/波动","中药和有催化的消费细分有局部赚钱效应","科技连续大跌且高位情绪脆弱","7/17继续防守，禁止把低位单日轮动当主升；观察医药核心能否抗住总市场恶化","https://www.cls.cn/detail/2428544","A-同日收盘原创"
2026-07-17,2026-07-20,2026-07-17 17:29,33,10,0.77,"主跌/极端冰点","电力|油气|银行|高速公路","CPO|PCB|创新药|存储芯片","高标:艾艾精工9天7板;局部连板:香江控股/智度股份3板;负锚:德明利3跌停/科技核心持续补跌","仅红利/公用事业等防御方向逆势","5000+下跌，科创50-7%且科技亏钱效应极强","7/20首先看防御是否从避险变成可持续题材；科技只能做确认后的修复，不猜底","https://www.cls.cn/detail/2429653","A-同日收盘原创"
2026-07-20,2026-07-21,2026-07-20 17:28,53,38,0.58,"冰点反抽/红利占优","电力|油气|煤炭|白酒|算力租赁局部","高位科技旧核心","电力龙头:立新能源3板;电力梯队:华银电力/乐山电力/桂冠电力2板;算力租赁催化:利通电子等;负锚:德明利4跌停/艾艾精工天地板","电力形成明显梯队，红利大票支撑指数","3700+下跌且230+跌停，接力情绪仍低","7/21电力若龙头和梯队继续晋级可认定阶段主线；科技修复必须出现容量核心+板块广度共振","https://www.cls.cn/detail/2431452","A-同日收盘原创"
2026-07-21,2026-07-22,2026-07-21 17:29,121,9,0.93,"强修复/科技一致","半导体设备|存储|CPO|PCB|算力硬件","油气|养殖|银行|煤炭","电力高标:立新能源4板/华银电力3板;科技容量:雅克科技/长电科技/太极实业地天板;CPO:光迅科技/中际旭创;医药高辨识:哈药股份8天6板","科技全链修复，封板率93%","前一日极端亏钱效应刚释放，修复持续性仍待确认","7/22不追普涨高潮的二三线；只观察产业链核心能否维持强度，及电力高标是否继续带队","https://www.cls.cn/detail/2432754","A-同日收盘原创"
2026-07-22,2026-07-23,2026-07-22 17:23,47,36,0.57,"科技分歧/电力资源抱团","电力|有色/贵金属|医药局部","算力硬件|存储","电力龙头:立新能源5板;电力梯队:华银电力4板/华电辽能/华电能源;算力:美利云3板;资源:盛达资源2板","电力核心晋级带动板块回流，资源获低风偏资金","科技修复次日即承压，炸板率较高","7/23电力若核心+补涨扩散继续成立可定义主线延续；科技只保留最强核心，不做跟风","https://www.cls.cn/detail/2434004","A-同日收盘原创"
2026-07-23,2026-07-24,2026-07-23 17:31,116,25,0.82,"短线修复/电力电网主线化","电力|电网设备|有色|锂矿|资源","半导体芯片","电力龙头:立新能源6板;算力高辨识:美利云4板;电网补涨:长缆科技3板及双杰/和顺/顺钠/汉缆/中国西电;资源:盛达资源3板","4200+上涨，电网30+涨停或大涨，主线梯队完整","半导体再调整，科技核心弱","7/24重点验证立新能源能否继续作为情绪锚；若龙头断板并带来板块批量跌停，电力立即进入退潮","https://www.cls.cn/detail/2435218","A-同日收盘原创"
2026-07-24,2026-07-27,2026-07-24 17:17,40,11,0.78,"主线分歧/电力退潮","军工|电信服务|油气设服|半导体设备局部","电力|贵金属|算力租赁|能源金属","新高标:长缆科技/爱丽家居4板;电力负锚:立新能源6板断板及乐山电力/华电辽能/华电能源跌停;弹性:五洲医疗20cm3板","少数新方向轮动，封板率尚可","4900+下跌且原电力主线出现核心断板+批量跌停","7/27旧电力只允许真正反包超预期；优先寻找低位新题材群体确认，普通反抽禁止","https://www.cls.cn/detail/2436413","A-同日收盘原创"
2026-07-27,2026-07-28,2026-07-27 17:19,111,13,0.90,"全面修复/高低切并存","脑机接口|PCB|创新药|硬科技局部|电力反包","前一轮退潮股风险仍在","连板高标:长缆科技/爱丽家居5板;旧主线反包:立新能源8天7板;弹性:五洲医疗20cm4板;超级容量事件:长鑫科技上市首日巨额成交","近5200上涨、封板率90%，多个低位题材活跃","高标晋级率仍不足三成，旧主线反包可持续性存疑","7/28只把有政策/产业催化且连续两日群体走强的方向升级；立新能源若转负反馈立即视为旧周期结束","https://www.cls.cn/detail/2437935","A-同日收盘原创"
2026-07-28,2026-07-29,2026-07-28 17:31,61,20,0.75,"指数主跌但小票高低切","脑机接口|食品饮料/大消费|医疗信息化","算力硬件|半导体材料|PCB|存储芯片|旧电力高标","高标:爱丽家居6板;脑机接口:创新医疗4天3板/南京熊猫/塞力医疗;旧周期负锚:立新能源准天地;硬件负锚:剑桥科技/东山精密/光迅科技跌停","脑机接口连续走强，小票与低位消费有结构赚钱效应","双创跌超6%，英伟达/硬件链全线退潮","7/29重点看脑机接口能否继续晋级形成独立周期；算力硬件不做早盘反抽，需先看核心止跌","https://www.cls.cn/detail/2439100","A-同日收盘原创"
2026-07-29,2026-07-30,2026-07-29 17:28,81,14,0.85,"深V修复/AI应用和消费轮动","游戏|教育/AI应用|食品饮料|零售|旅游酒店","AI服务器|部分光刻/硬件高位","高标:爱丽家居7板;AI应用:传智教育3板;机器人:明新旭腾3板;旅游:华天酒店3板;旧电力负锚:立新能源2跌停","4200+上涨，微盘3连阳，低位应用/消费恢复赚钱效应","旧电力周期确认退潮，硬件仍不稳定","7/30优先检验低位AI应用/消费是否有持续核心；若科技硬件再次大跌则继续回避高位赛道","https://www.cls.cn/detail/2440260","A-同日收盘原创"
2026-07-30,2026-07-31,2026-07-30 17:33,52,19,0.73,"再度分歧/红利消费防御","汽车整车|油气设服|白酒|美容护理|红利","CPO|PCB|半导体|玻璃基板","高标:爱丽家居8板;AI应用:传智教育4板;机器人:明新旭腾4板;消费:一鸣食品3板;科技负锚:科创50阶段新低","红利与部分消费承接资金","3600+下跌，科技成长继续释放亏钱效应","7/31若隔夜科技修复，只能做核心+板块同步确认；AI应用/消费若继续晋级可作为低位切换候选","https://www.cls.cn/detail/2441507","A-同日收盘原创"
2026-07-31,2026-08-03,2026-07-31 17:28,99,108,0.48,"反弹中的强分歧/轮动","AI应用|算力租赁|PCB|机器人","银行|油气|部分硬件高位","高标:爱丽家居9板;AI应用核心:传智教育5板;应用容量/弹性:中文在线/蓝色光标/易点天下;算力租赁:美利云/云赛智联;硬件负反馈:德明利涨停开后翻绿/长鑫科技冲高回落","AI应用低位20cm赚钱效应明显","108炸板、封板率48%，硬件核心高开低走，追涨风险高","8/3计划仅作月后验证；7月回测不得利用该日之后信息反推7月规则","https://www.cls.cn/detail/2442703","A-同日收盘原创"
